Title,Director,Genre,Cast,combined
102 dalmatians,kevin lima,comedy  family,glenn close  gérard depardieu  alice evans,102 dalmatians kevin lima comedy  family glenn close  gérard depardieu  alice evans
28 days,betty thomas,drama,sandra bullock  viggo mortensen,28 days betty thomas drama sandra bullock  viggo mortensen
3 strikes,dj pooh,comedy,brian hooks  n'bushe wright,3 strikes dj pooh comedy brian hooks  n'bushe wright
the 6th day,roger spottiswoode,science fiction,arnold schwarzenegger  robert duvall,the 6th day roger spottiswoode science fiction arnold schwarzenegger  robert duvall
across the line,martin spottl,thriller,brad johnson  adrienne barbeau  brian bloom,across the line martin spottl thriller brad johnson  adrienne barbeau  brian bloom
adventures in wild california,greg macgillivray,documentary,jimmy smits (narrator),adventures in wild california greg macgillivray documentary jimmy smits (narrator)
the adventures of rocky and bullwinkle,des mcanuff,comedy,rene russo  jason alexander  robert de niro  piper perabo  june foray  keith scott,the adventures of rocky and bullwinkle des mcanuff comedy rene russo  jason alexander  robert de niro  piper perabo  june foray  keith scott
all the pretty horses,billy bob thornton,western,matt damon  penélope cruz  henry thomas  lucas black  rubén blades  míriam colón  bruce dern,all the pretty horses billy bob thornton western matt damon  penélope cruz  henry thomas  lucas black  rubén blades  míriam colón  bruce dern
almost famous,cameron crowe,comedy  drama,billy crudup  frances mcdormand  kate hudson  jason lee  patrick fugit  anna paquin  fairuza balk,almost famous cameron crowe comedy  drama billy crudup  frances mcdormand  kate hudson  jason lee  patrick fugit  anna paquin  fairuza balk
american psycho,mary harron,comedy  thriller,christian bale  chloë sevigny  willem dafoe,american psycho mary harron comedy  thriller christian bale  chloë sevigny  willem dafoe
animal factory,steve buscemi,crime drama,willem dafoe  edward furlong  mickey rourke,animal factory steve buscemi crime drama willem dafoe  edward furlong  mickey rourke
the art of war,christian duguay,action,wesley snipes  donald sutherland,the art of war christian duguay action wesley snipes  donald sutherland
autumn in new york,joan chen,romance,richard gere  winona ryder,autumn in new york joan chen romance richard gere  winona ryder
bait,antoine fuqua,action,jamie foxx  david morse  kimberly elise,bait antoine fuqua action jamie foxx  david morse  kimberly elise
the ballad of ramblin' jack,aiyana elliott,documentary,ramblin' jack elliott,the ballad of ramblin' jack aiyana elliott documentary ramblin' jack elliott
bamboozled,spike lee,satire,damon wayans  jada pinkett smith  savion glover  michael rapaport  tommy davidson,bamboozled spike lee satire damon wayans  jada pinkett smith  savion glover  michael rapaport  tommy davidson
battlefield earth,roger christian,science fiction,john travolta  forest whitaker  barry pepper,battlefield earth roger christian science fiction john travolta  forest whitaker  barry pepper
the beach,danny boyle,adventure,leonardo dicaprio  virginie ledoyen  tilda swinton,the beach danny boyle adventure leonardo dicaprio  virginie ledoyen  tilda swinton
beat,gary walkow,drama,courtney love  kiefer sutherland,beat gary walkow drama courtney love  kiefer sutherland
beautiful,sally field,comedy,minnie driver  hallie kate eisenberg  kathleen turner,beautiful sally field comedy minnie driver  hallie kate eisenberg  kathleen turner
beautiful joe,stephen metcalfe,comedy  drama,sharon stone  billy connolly,beautiful joe stephen metcalfe comedy  drama sharon stone  billy connolly
bedazzled,harold ramis,comedy,brendan fraser  elizabeth hurley,bedazzled harold ramis comedy brendan fraser  elizabeth hurley
before night falls,julian schnabel,biography,javier bardem  johnny depp,before night falls julian schnabel biography javier bardem  johnny depp
best in show,christopher guest,mockumentary,parker posey  michael mckean  catherine o'hara  eugene levy  michael hitchcock  jennifer coolidge,best in show christopher guest mockumentary parker posey  michael mckean  catherine o'hara  eugene levy  michael hitchcock  jennifer coolidge
big momma's house,raja gosnell,comedy,martin lawrence  paul giamatti,big momma's house raja gosnell comedy martin lawrence  paul giamatti
the big tease,kevin allen,comedy,craig ferguson  frances fisher  mary mccormack,the big tease kevin allen comedy craig ferguson  frances fisher  mary mccormack
bless the child,chuck russell,thriller,kim basinger  jimmy smits  christina ricci,bless the child chuck russell thriller kim basinger  jimmy smits  christina ricci
boiler room,ben younger,drama,giovanni ribisi  nia long  vin diesel  ben affleck,boiler room ben younger drama giovanni ribisi  nia long  vin diesel  ben affleck
book of shadows: blair witch 2,joe berlinger,horror,kim director  jeffrey donovan  erica leerhsen,book of shadows: blair witch 2 joe berlinger horror kim director  jeffrey donovan  erica leerhsen
bounce,don roos,drama,ben affleck  gwyneth paltrow,bounce don roos drama ben affleck  gwyneth paltrow
boys and girls,robert iscove,comedy,claire forlani  freddie prinze  jr.  jason biggs,boys and girls robert iscove comedy claire forlani  freddie prinze  jr.  jason biggs
bring it on,peyton reed,comedy,kirsten dunst  eliza dushku  gabrielle union  jesse bradford,bring it on peyton reed comedy kirsten dunst  eliza dushku  gabrielle union  jesse bradford
the broken hearts club: a romantic comedy,greg berlanti,comedy,ben weber  timothy olyphant  zach braff,the broken hearts club: a romantic comedy greg berlanti comedy ben weber  timothy olyphant  zach braff
brother,takeshi kitano,crime drama,takeshi kitano  omar epps,brother takeshi kitano crime drama takeshi kitano  omar epps
cast away,robert zemeckis,adventure,tom hanks  helen hunt,cast away robert zemeckis adventure tom hanks  helen hunt
cecil b. demented,john waters,comedy,melanie griffith  stephen dorff  alicia witt  adrian grenier  maggie gyllenhaal,cecil b. demented john waters comedy melanie griffith  stephen dorff  alicia witt  adrian grenier  maggie gyllenhaal
the cell,tarsem singh,science fiction,jennifer lopez  vince vaughn  vincent d'onofrio,the cell tarsem singh science fiction jennifer lopez  vince vaughn  vincent d'onofrio
center stage,nicholas hytner,musical,amanda schull  peter gallagher  ethan stiefel,center stage nicholas hytner musical amanda schull  peter gallagher  ethan stiefel
charlie's angels,mcg,action,drew barrymore  cameron diaz  lucy liu  bill murray  sam rockwell  tim curry  crispin glover,charlie's angels mcg action drew barrymore  cameron diaz  lucy liu  bill murray  sam rockwell  tim curry  crispin glover
cherry falls,geoffrey wright,thriller,brittany murphy  michael biehn  jesse bradford,cherry falls geoffrey wright thriller brittany murphy  michael biehn  jesse bradford
chinese coffee,al pacino,drama,al pacino  jerry orbach,chinese coffee al pacino drama al pacino  jerry orbach
chocolat,lasse hallström,romance,juliette binoche  judi dench  alfred molina  lena olin  johnny depp,chocolat lasse hallström romance juliette binoche  judi dench  alfred molina  lena olin  johnny depp
a chronicle of corpses,andrew repasky mcelhinney,drama  horror  period,marj dusay  oliver wyman  margot white  ryan foley  kevin mitchell martin  david semonin,a chronicle of corpses andrew repasky mcelhinney drama  horror  period marj dusay  oliver wyman  margot white  ryan foley  kevin mitchell martin  david semonin
chuck & buck,miguel arteta,comedy,chris weitz  mike white  maya rudolph,chuck & buck miguel arteta comedy chris weitz  mike white  maya rudolph
the contender,rod lurie,drama,joan allen  jeff bridges  gary oldman  christian slater  sam elliott  kathryn morris  mike binder,the contender rod lurie drama joan allen  jeff bridges  gary oldman  christian slater  sam elliott  kathryn morris  mike binder
coyote ugly,david mcnally,comedy,piper perabo  adam garcia  tyra banks  john goodman,coyote ugly david mcnally comedy piper perabo  adam garcia  tyra banks  john goodman
"crouching tiger, hidden dragon",ang lee,action,chow yun-fat  michelle yeoh  zhang ziyi  chang chen,"crouching tiger, hidden dragon ang lee action chow yun-fat  michelle yeoh  zhang ziyi  chang chen"
the crew,michael dinner,comedy,richard dreyfuss  burt reynolds  dan hedaya,the crew michael dinner comedy richard dreyfuss  burt reynolds  dan hedaya
the crossing,robert harmon,historical drama,jeff daniels  roger rees  sebastian roché  steven mccarthy,the crossing robert harmon historical drama jeff daniels  roger rees  sebastian roché  steven mccarthy
dancer in the dark,lars von trier,musical drama,björk  catherine deneuve  david morse  peter stormare  joel grey,dancer in the dark lars von trier musical drama björk  catherine deneuve  david morse  peter stormare  joel grey
digimon: the movie,"mamoru hosoda, minoru hosoda",animation  adventure,lara jill miller  joshua seth  bob glouberman,"digimon: the movie mamoru hosoda, minoru hosoda animation  adventure lara jill miller  joshua seth  bob glouberman"
dinosaur,"eric leighton, ralph zondag",animation,d. b. sweeney  alfre woodard  ossie davis,"dinosaur eric leighton, ralph zondag animation d. b. sweeney  alfre woodard  ossie davis"
down to you,kris isacsson,comedy,freddie prinze  jr.  julia stiles,down to you kris isacsson comedy freddie prinze  jr.  julia stiles
dr. t & the women,robert altman,romantic comedy,richard gere  helen hunt  farrah fawcett  laura dern  shelley long  tara reid  kate hudson,dr. t & the women robert altman romantic comedy richard gere  helen hunt  farrah fawcett  laura dern  shelley long  tara reid  kate hudson
dracula 2000,patrick lussier,horror,gerard butler  christopher plummer  jonny lee miller,dracula 2000 patrick lussier horror gerard butler  christopher plummer  jonny lee miller
drowning mona,nick gomez,comedy,bette midler  jamie lee curtis  danny devito  neve campbell,drowning mona nick gomez comedy bette midler  jamie lee curtis  danny devito  neve campbell
"dude, where's my car?",danny leiner,comedy,ashton kutcher  seann william scott,"dude, where's my car? danny leiner comedy ashton kutcher  seann william scott"
duets,bruce paltrow,drama  musical,maria bello  andre braugher  paul giamatti  huey lewis  gwyneth paltrow  angie dickinson,duets bruce paltrow drama  musical maria bello  andre braugher  paul giamatti  huey lewis  gwyneth paltrow  angie dickinson
dungeons & dragons,courtney solomon,fantasy,jeremy irons  thora birch  tom baker  marlon wayans,dungeons & dragons courtney solomon fantasy jeremy irons  thora birch  tom baker  marlon wayans
the emperor's new groove,mark dindal,animation,david spade  john goodman  eartha kitt  patrick warburton  wendie malick,the emperor's new groove mark dindal animation david spade  john goodman  eartha kitt  patrick warburton  wendie malick
erin brockovich,steven soderbergh,biography,julia roberts  albert finney  aaron eckhart,erin brockovich steven soderbergh biography julia roberts  albert finney  aaron eckhart
an everlasting piece,barry levinson,comedy,barry mcevoy  brían f. o'byrne  anna friel  billy connolly,an everlasting piece barry levinson comedy barry mcevoy  brían f. o'byrne  anna friel  billy connolly
the eyes of tammy faye,"fenton bailey, randy barbato",documentary,tammy faye bakker  rupaul,"the eyes of tammy faye fenton bailey, randy barbato documentary tammy faye bakker  rupaul"
fail safe,stephen frears,drama  thriller,walter cronkite  richard dreyfuss  noah wyle,fail safe stephen frears drama  thriller walter cronkite  richard dreyfuss  noah wyle
the family man,brett ratner,drama,nicolas cage  téa leoni  don cheadle,the family man brett ratner drama nicolas cage  téa leoni  don cheadle
final destination,james wong,horror,devon sawa  ali larter  kerr smith  seann william scott,final destination james wong horror devon sawa  ali larter  kerr smith  seann william scott
finding forrester,gus van sant,drama,sean connery  rob brown  anna paquin,finding forrester gus van sant drama sean connery  rob brown  anna paquin
the flintstones in viva rock vegas,brian levant,comedy,mark addy  stephen baldwin  kristen johnston  jane krakowski  alan cumming  joan collins  harvey korman,the flintstones in viva rock vegas brian levant comedy mark addy  stephen baldwin  kristen johnston  jane krakowski  alan cumming  joan collins  harvey korman
for love or country: the arturo sandoval story,joseph sargent,biography,andy garcía  mía maestro  gloria estefan,for love or country: the arturo sandoval story joseph sargent biography andy garcía  mía maestro  gloria estefan
frequency,gregory hoblit,science fiction,dennis quaid  james caviezel,frequency gregory hoblit science fiction dennis quaid  james caviezel
get carter,stephen t. kay,action,sylvester stallone  rhona mitra  michael caine  rachael leigh cook  miranda richardson  mickey rourke,get carter stephen t. kay action sylvester stallone  rhona mitra  michael caine  rachael leigh cook  miranda richardson  mickey rourke
the gift,sam raimi,thriller,cate blanchett  giovanni ribisi  keanu reeves  katie holmes  greg kinnear  hilary swank,the gift sam raimi thriller cate blanchett  giovanni ribisi  keanu reeves  katie holmes  greg kinnear  hilary swank
the girl,sande zeig,romance,claire keim  agathe de la boulaye,the girl sande zeig romance claire keim  agathe de la boulaye
girlfight,karyn kusama,drama,michelle rodriguez  paul calderón,girlfight karyn kusama drama michelle rodriguez  paul calderón
gladiator,ridley scott,action  drama  epic ,russell crowe  joaquin phoenix  connie nielsen  richard harris  djimon hounsou  oliver reed,gladiator ridley scott action  drama  epic  russell crowe  joaquin phoenix  connie nielsen  richard harris  djimon hounsou  oliver reed
the golden bowl,james ivory,drama,kate beckinsale  james fox  anjelica huston  nick nolte,the golden bowl james ivory drama kate beckinsale  james fox  anjelica huston  nick nolte
gone in 60 seconds,dominic sena,action,nicolas cage  giovanni ribisi  angelina jolie  robert duvall,gone in 60 seconds dominic sena action nicolas cage  giovanni ribisi  angelina jolie  robert duvall
gossip,davis guggenheim,drama,james marsden  lena headey  norman reedus  kate hudson  marisa coughlan  joshua jackson,gossip davis guggenheim drama james marsden  lena headey  norman reedus  kate hudson  marisa coughlan  joshua jackson
gun shy,eric blakeney,action,liam neeson  oliver platt  andrew lauer,gun shy eric blakeney action liam neeson  oliver platt  andrew lauer
hamlet,michael almereyda,drama,ethan hawke  diane venora  julia stiles,hamlet michael almereyda drama ethan hawke  diane venora  julia stiles
hanging up,diane keaton,comedy,meg ryan  diane keaton  lisa kudrow  walter matthau,hanging up diane keaton comedy meg ryan  diane keaton  lisa kudrow  walter matthau
held up,steve rash,comedy,jamie foxx  nia long,held up steve rash comedy jamie foxx  nia long
here on earth,mark piznarski,drama,chris klein  leelee sobieski  josh hartnett,here on earth mark piznarski drama chris klein  leelee sobieski  josh hartnett
high fidelity,stephen frears,comedy,john cusack  jack black  lisa bonet  joan cusack  iben hjejle  lili taylor,high fidelity stephen frears comedy john cusack  jack black  lisa bonet  joan cusack  iben hjejle  lili taylor
highlander: endgame,douglas aarniokoski,science fiction,adrian paul  christopher lambert,highlander: endgame douglas aarniokoski science fiction adrian paul  christopher lambert
hollow man,paul verhoeven,science fiction  horror,elisabeth shue  kevin bacon  josh brolin,hollow man paul verhoeven science fiction  horror elisabeth shue  kevin bacon  josh brolin
the house of mirth,terence davies,drama,gillian anderson  laura linney  dan aykroyd,the house of mirth terence davies drama gillian anderson  laura linney  dan aykroyd
how the grinch stole christmas,ron howard,family  fantasy,jim carrey  christine baranski  jeffrey tambor  molly shannon  taylor momsen,how the grinch stole christmas ron howard family  fantasy jim carrey  christine baranski  jeffrey tambor  molly shannon  taylor momsen
how to kill your neighbor's dog,michael kalesniko,comedy,kenneth branagh  robin wright penn,how to kill your neighbor's dog michael kalesniko comedy kenneth branagh  robin wright penn
i dreamed of africa,hugh hudson,drama,kim basinger  eva marie saint,i dreamed of africa hugh hudson drama kim basinger  eva marie saint
icebreaker,david giancola,action,sean astin  stacy keach  bruce campbell,icebreaker david giancola action sean astin  stacy keach  bruce campbell
the in crowd,mary lambert,thriller,susan ward  lori heuring  matthew settle,the in crowd mary lambert thriller susan ward  lori heuring  matthew settle
into the arms of strangers: stories of the kindertransport,mark jonathan harris,documentary,the kindertransport,into the arms of strangers: stories of the kindertransport mark jonathan harris documentary the kindertransport
isn't she great,andrew bergman,biography  comedy,bette midler  nathan lane  john cleese  stockard channing  david hyde pierce  amanda peet,isn't she great andrew bergman biography  comedy bette midler  nathan lane  john cleese  stockard channing  david hyde pierce  amanda peet
ivans xtc,bernard rose,drama,danny huston  peter weller,ivans xtc bernard rose drama danny huston  peter weller
joe gould's secret,stanley tucci,drama,ian holm  stanley tucci  hope davis,joe gould's secret stanley tucci drama ian holm  stanley tucci  hope davis
just one night,alan jacobs,comedy,timothy hutton  maria grazia cucinotta,just one night alan jacobs comedy timothy hutton  maria grazia cucinotta
keeping the faith,edward norton,comedy,ben stiller  jenna elfman  edward norton,keeping the faith edward norton comedy ben stiller  jenna elfman  edward norton
the kid,jon turteltaub,family,bruce willis  lily tomlin  jean smart  spencer breslin,the kid jon turteltaub family bruce willis  lily tomlin  jean smart  spencer breslin
the ladies man,reginald hudlin,comedy,tim meadows  billy dee williams  will ferrell,the ladies man reginald hudlin comedy tim meadows  billy dee williams  will ferrell
the last producer,burt reynolds,drama,burt reynolds  rod steiger  benjamin bratt,the last producer burt reynolds drama burt reynolds  rod steiger  benjamin bratt
legacy,tod lending,documentary,life in chicago ghettos,legacy tod lending documentary life in chicago ghettos
the legend of bagger vance,robert redford,drama,matt damon  will smith  charlize theron  jack lemmon,the legend of bagger vance robert redford drama matt damon  will smith  charlize theron  jack lemmon
little nicky,steven brill,comedy,adam sandler  patricia arquette  harvey keitel,little nicky steven brill comedy adam sandler  patricia arquette  harvey keitel
the little vampire,uli edel,comedy,jonathan lipnicki  richard e. grant  rollo weeks,the little vampire uli edel comedy jonathan lipnicki  richard e. grant  rollo weeks
long night's journey into day,"deborah hoffmann, frances reid",documentary,the truth and reconciliation commission in post-apartheid south africa,"long night's journey into day deborah hoffmann, frances reid documentary the truth and reconciliation commission in post-apartheid south africa"
loser,amy heckerling,comedy,jason biggs  mena suvari  greg kinnear,loser amy heckerling comedy jason biggs  mena suvari  greg kinnear
lost souls,janusz kamiński,horror,winona ryder  ben chaplin,lost souls janusz kamiński horror winona ryder  ben chaplin
love & basketball,gina prince-bythewood,drama,omar epps  sanaa lathan  dennis haysbert,love & basketball gina prince-bythewood drama omar epps  sanaa lathan  dennis haysbert
lucky numbers,nora ephron,crime,john travolta  lisa kudrow  tim roth  michael moore,lucky numbers nora ephron crime john travolta  lisa kudrow  tim roth  michael moore
maryam,ramin serry,drama,mariam parris  shaun toub  shohreh aghdashloo,maryam ramin serry drama mariam parris  shaun toub  shohreh aghdashloo
maze,rob morrow,drama,rob morrow  laura linney  craig sheffer,maze rob morrow drama rob morrow  laura linney  craig sheffer
"me, myself & irene",peter and bobby farrelly,comedy,jim carrey  renée zellweger  robert forster  chris cooper,"me, myself & irene peter and bobby farrelly comedy jim carrey  renée zellweger  robert forster  chris cooper"
meet the parents,jay roach,comedy,ben stiller  robert de niro  blythe danner  teri polo  owen wilson,meet the parents jay roach comedy ben stiller  robert de niro  blythe danner  teri polo  owen wilson
memento,christopher nolan,thriller,guy pearce  carrie-anne moss  joe pantoliano,memento christopher nolan thriller guy pearce  carrie-anne moss  joe pantoliano
men of honor,"george tillman, jr.",biography,robert de niro  cuba gooding  jr.  charlize theron,"men of honor george tillman, jr. biography robert de niro  cuba gooding  jr.  charlize theron"
mercy streets,john gunn,action,eric roberts  cynthia watros  stacy keach,mercy streets john gunn action eric roberts  cynthia watros  stacy keach
the million dollar hotel,wim wenders,drama,jeremy davies  milla jovovich  mel gibson  jimmy smits,the million dollar hotel wim wenders drama jeremy davies  milla jovovich  mel gibson  jimmy smits
miss congeniality,donald petrie,comedy,sandra bullock  benjamin bratt  michael caine  william shatner  candice bergen,miss congeniality donald petrie comedy sandra bullock  benjamin bratt  michael caine  william shatner  candice bergen
mission to mars,brian de palma,science fiction,gary sinise  tim robbins  don cheadle  connie nielsen  jerry o'connell  kim delaney,mission to mars brian de palma science fiction gary sinise  tim robbins  don cheadle  connie nielsen  jerry o'connell  kim delaney
mission: impossible 2,john woo,action,tom cruise  dougray scott  thandie newton  ving rhames  richard roxburgh  brendan gleeson,mission: impossible 2 john woo action tom cruise  dougray scott  thandie newton  ving rhames  richard roxburgh  brendan gleeson
my dog skip,jay russell,family,frankie muniz  diane lane  luke wilson  kevin bacon,my dog skip jay russell family frankie muniz  diane lane  luke wilson  kevin bacon
my 5 wives,sidney j. furie,comedy,rodney dangerfield  jerry stiller  molly shannon,my 5 wives sidney j. furie comedy rodney dangerfield  jerry stiller  molly shannon
the next best thing,john schlesinger,comedy,rupert everett  madonna  benjamin bratt,the next best thing john schlesinger comedy rupert everett  madonna  benjamin bratt
next friday,steve carr,comedy,ice cube  mike epps  don curry,next friday steve carr comedy ice cube  mike epps  don curry
nothin' 2 lose,barry bowles,comedy,brian hooks,nothin' 2 lose barry bowles comedy brian hooks
nutty professor ii: the klumps,peter segal,comedy,eddie murphy  janet jackson  larry miller  wanda sykes,nutty professor ii: the klumps peter segal comedy eddie murphy  janet jackson  larry miller  wanda sykes
nurse betty,neil labute,comedy,morgan freeman  renée zellweger  chris rock  greg kinnear,nurse betty neil labute comedy morgan freeman  renée zellweger  chris rock  greg kinnear
"o brother, where art thou?",joel and ethan coen,comedy,george clooney  tim blake nelson  john turturro  holly hunter  john goodman  charles durning,"o brother, where art thou? joel and ethan coen comedy george clooney  tim blake nelson  john turturro  holly hunter  john goodman  charles durning"
the opportunists,myles connell,crime drama,christopher walken  vera farmiga  cyndi lauper,the opportunists myles connell crime drama christopher walken  vera farmiga  cyndi lauper
the original kings of comedy,spike lee,documentary,stand-up comedy of steve harvey  d. l. hughley  cedric the entertainer  bernie mac,the original kings of comedy spike lee documentary stand-up comedy of steve harvey  d. l. hughley  cedric the entertainer  bernie mac
our song,jim mckay,drama,kerry washington  melissa martinez,our song jim mckay drama kerry washington  melissa martinez
panic,henry bromell,crime drama,william h. macy  neve campbell  donald sutherland,panic henry bromell crime drama william h. macy  neve campbell  donald sutherland
passion of mind,alain berliner,drama,demi moore  stellan skarsgård,passion of mind alain berliner drama demi moore  stellan skarsgård
the patriot,roland emmerich,war,mel gibson  heath ledger  joely richardson  jason isaacs  chris cooper  tom wilkinson,the patriot roland emmerich war mel gibson  heath ledger  joely richardson  jason isaacs  chris cooper  tom wilkinson
pay it forward,mimi leder,drama,haley joel osment  helen hunt  kevin spacey  james caviezel  angie dickinson  jon bon jovi,pay it forward mimi leder drama haley joel osment  helen hunt  kevin spacey  james caviezel  angie dickinson  jon bon jovi
the perfect storm,wolfgang petersen,adventure,george clooney  mark wahlberg  diane lane  mary elizabeth mastrantonio  john c. reilly  karen allen,the perfect storm wolfgang petersen adventure george clooney  mark wahlberg  diane lane  mary elizabeth mastrantonio  john c. reilly  karen allen
picking up the pieces,alfonso aráu,comedy,woody allen  sharon stone  david schwimmer,picking up the pieces alfonso aráu comedy woody allen  sharon stone  david schwimmer
pitch black,david twohy,science fiction,vin diesel  keith david  cole hauser,pitch black david twohy science fiction vin diesel  keith david  cole hauser
pollock,ed harris,biography,ed harris  marcia gay harden  jennifer connelly,pollock ed harris biography ed harris  marcia gay harden  jennifer connelly
poor white trash,michael addis,comedy,sean young  william devane,poor white trash michael addis comedy sean young  william devane
price of glory,carlos ávila,drama,jimmy smits,price of glory carlos ávila drama jimmy smits
prince of central park,john leekley,family,kathleen turner  danny aiello  harvey keitel,prince of central park john leekley family kathleen turner  danny aiello  harvey keitel
proof of life,taylor hackford,drama,russell crowe  meg ryan  david morse,proof of life taylor hackford drama russell crowe  meg ryan  david morse
psycho beach party,robert lee king,comedy,thomas gibson  lauren ambrose  charles busch,psycho beach party robert lee king comedy thomas gibson  lauren ambrose  charles busch
quills,philip kaufman,drama  biography,geoffrey rush  kate winslet  joaquin phoenix  michael caine,quills philip kaufman drama  biography geoffrey rush  kate winslet  joaquin phoenix  michael caine
ready to rumble,brian robbins,comedy,david arquette  oliver platt  scott caan,ready to rumble brian robbins comedy david arquette  oliver platt  scott caan
reckless indifference,william gazecki,documentary,underage murder,reckless indifference william gazecki documentary underage murder
red planet,antony hoffman,science fiction,val kilmer  carrie-anne moss  tom sizemore,red planet antony hoffman science fiction val kilmer  carrie-anne moss  tom sizemore
reindeer games,john frankenheimer,crime drama,ben affleck  gary sinise  charlize theron,reindeer games john frankenheimer crime drama ben affleck  gary sinise  charlize theron
remember the titans,boaz yakin,drama,denzel washington  will patton,remember the titans boaz yakin drama denzel washington  will patton
the replacements,howard deutch,comedy,keanu reeves  gene hackman  brooke langton,the replacements howard deutch comedy keanu reeves  gene hackman  brooke langton
requiem for a dream,darren aronofsky,drama,ellen burstyn  jared leto  jennifer connelly  marlon wayans,requiem for a dream darren aronofsky drama ellen burstyn  jared leto  jennifer connelly  marlon wayans
return to me,bonnie hunt,romance,minnie driver  david duchovny  carroll o'connor,return to me bonnie hunt romance minnie driver  david duchovny  carroll o'connor
the road to el dorado,"bibo bergeron, will finn",animation,kevin kline  kenneth branagh  rosie perez,"the road to el dorado bibo bergeron, will finn animation kevin kline  kenneth branagh  rosie perez"
road trip,todd phillips,comedy,breckin meyer  seann william scott  tom green  dj qualls  amy smart,road trip todd phillips comedy breckin meyer  seann william scott  tom green  dj qualls  amy smart
romeo must die,andrzej bartkowiak,action,jet li  aaliyah  delroy lindo,romeo must die andrzej bartkowiak action jet li  aaliyah  delroy lindo
rugrats in paris: the movie,"stig berggvist, paul demeyer",animation,elizabeth daily  tara strong  cheryl chase,"rugrats in paris: the movie stig berggvist, paul demeyer animation elizabeth daily  tara strong  cheryl chase"
rules of engagement,william friedkin,war,tommy lee jones  samuel l. jackson  guy pearce,rules of engagement william friedkin war tommy lee jones  samuel l. jackson  guy pearce
a rumor of angels,peter o'fallon,drama,vanessa redgrave  ray liotta  catherine mccormack  ron livingston,a rumor of angels peter o'fallon drama vanessa redgrave  ray liotta  catherine mccormack  ron livingston
the scarecrow,richard rich,animation  fantasy,shawn hoffman  belinda montgomery  ray porter  corey feldman,the scarecrow richard rich animation  fantasy shawn hoffman  belinda montgomery  ray porter  corey feldman
scary movie,keenen ivory wayans,comedy,marlon wayans  anna faris  carmen electra,scary movie keenen ivory wayans comedy marlon wayans  anna faris  carmen electra
scottsboro: an american tragedy,"daniel anker, barak goodman",documentary,the scottsboro boys case,"scottsboro: an american tragedy daniel anker, barak goodman documentary the scottsboro boys case"
scream 3,wes craven,horror,david arquette  neve campbell  courteney cox  patrick dempsey  scott foley  emily mortimer,scream 3 wes craven horror david arquette  neve campbell  courteney cox  patrick dempsey  scott foley  emily mortimer
screwed,scott alexander and larry karaszewski,comedy,norm macdonald  dave chappelle  danny devito,screwed scott alexander and larry karaszewski comedy norm macdonald  dave chappelle  danny devito
seventeen again,jeffrey w. byrd,comedy,tamera mowry  tia mowry  maia campbell,seventeen again jeffrey w. byrd comedy tamera mowry  tia mowry  maia campbell
sexy beast,jonathan glazer,crime drama,ray winstone  ben kingsley  ian mcshane  amanda redman  james fox,sexy beast jonathan glazer crime drama ray winstone  ben kingsley  ian mcshane  amanda redman  james fox
shadow of the vampire,e. elias merhige,drama,john malkovich  willem dafoe,shadow of the vampire e. elias merhige drama john malkovich  willem dafoe
shaft,john singleton,action,samuel l. jackson  vanessa williams  jeffrey wright  richard roundtree  christian bale,shaft john singleton action samuel l. jackson  vanessa williams  jeffrey wright  richard roundtree  christian bale
shanghai noon,tom dey,comedy,jackie chan  owen wilson  lucy liu,shanghai noon tom dey comedy jackie chan  owen wilson  lucy liu
shriek if you know what i did last friday the thirteenth,john blanchard,comedy,tiffani-amber thiessen  tom arnold  majandra delfino,shriek if you know what i did last friday the thirteenth john blanchard comedy tiffani-amber thiessen  tom arnold  majandra delfino
the skulls,rob cohen,thriller,joshua jackson  paul walker,the skulls rob cohen thriller joshua jackson  paul walker
small time crooks,woody allen,comedy,woody allen  hugh grant  tracey ullman,small time crooks woody allen comedy woody allen  hugh grant  tracey ullman
the smokers,kat slater,drama,dominique swain  busy philipps  keri lynn pratt  nicholas m. loeb  oliver hudson,the smokers kat slater drama dominique swain  busy philipps  keri lynn pratt  nicholas m. loeb  oliver hudson
snatch,guy ritchie,crime,benicio del toro  jason statham  brad pitt  stephen graham  dennis farina,snatch guy ritchie crime benicio del toro  jason statham  brad pitt  stephen graham  dennis farina
snow day,chris koch,comedy,chevy chase  chris elliott  mark webber,snow day chris koch comedy chevy chase  chris elliott  mark webber
songcatcher,maggie greenwald,drama,janet mcteer  aidan quinn,songcatcher maggie greenwald drama janet mcteer  aidan quinn
sound and fury,josh aronson,documentary,conflict between cochlear implants  deaf identity,sound and fury josh aronson documentary conflict between cochlear implants  deaf identity
space cowboys,clint eastwood,drama,clint eastwood  tommy lee jones  donald sutherland  james garner  marcia gay harden  james cromwell  loren dean  courtney b. vance  william devane,space cowboys clint eastwood drama clint eastwood  tommy lee jones  donald sutherland  james garner  marcia gay harden  james cromwell  loren dean  courtney b. vance  william devane
the specials,craig mazin,comedy,thomas haden church  rob lowe  jamie kennedy,the specials craig mazin comedy thomas haden church  rob lowe  jamie kennedy
steal this movie!,robert greenwald,biography,vincent d'onofrio  janeane garofalo,steal this movie! robert greenwald biography vincent d'onofrio  janeane garofalo
supernova,walter hill,science fiction,james spader  angela bassett,supernova walter hill science fiction james spader  angela bassett
