Title,Director,Genre,Cast,combined
devil's knot,atom egoyan,crime drama thriller,reese witherspoon colin firth alessandro nivola,devil's knot atom egoyan crime drama thriller reese witherspoon colin firth alessandro nivola
god's pocket,john slattery,drama,philip seymour hoffman richard jenkins christina hendricks,god's pocket john slattery drama philip seymour hoffman richard jenkins christina hendricks
moms' night out,jon erwin,comedy,sarah drew sean astin patricia heaton,moms' night out jon erwin comedy sarah drew sean astin patricia heaton
neighbors,nicholas stoller,comedy,seth rogen zac efron rose byrne,neighbors nicholas stoller comedy seth rogen zac efron rose byrne
stage fright,victor cook,family adventure animation comedy mystery,frank welker matthew lillard grey delisle,stage fright victor cook family adventure animation comedy mystery frank welker matthew lillard grey delisle
godzilla,adam wingard,action fantasy science fiction,alexander skarsgård millie bobby brown rebecca hall,godzilla adam wingard action fantasy science fiction alexander skarsgård millie bobby brown rebecca hall
million dollar arm,craig gillespie,drama,jon hamm bill paxton lake bell,million dollar arm craig gillespie drama jon hamm bill paxton lake bell
the angriest man in brooklyn,phil alden robinson,drama comedy,robin williams mila kunis peter dinklage,the angriest man in brooklyn phil alden robinson drama comedy robin williams mila kunis peter dinklage
blended,frank coraci,comedy,adam sandler drew barrymore wendi mclendon-covey,blended frank coraci comedy adam sandler drew barrymore wendi mclendon-covey
cold in july,jim mickle,drama thriller,michael c. hall don johnson sam shepard,cold in july jim mickle drama thriller michael c. hall don johnson sam shepard
x-men: days of future past,bryan singer,action adventure fantasy science fiction,hugh jackman james mcavoy michael fassbender,x-men: days of future past bryan singer action adventure fantasy science fiction hugh jackman james mcavoy michael fassbender
maleficent,robert stromberg,fantasy adventure action family romance,angelina jolie elle fanning sharlto copley,maleficent robert stromberg fantasy adventure action family romance angelina jolie elle fanning sharlto copley
a million ways to die in the west,seth macfarlane,comedy western,seth macfarlane charlize theron liam neeson,a million ways to die in the west seth macfarlane comedy western seth macfarlane charlize theron liam neeson
edge of tomorrow,doug liman,action science fiction,tom cruise emily blunt brendan gleeson,edge of tomorrow doug liman action science fiction tom cruise emily blunt brendan gleeson
the fault in our stars,josh boone,romance drama,shailene woodley ansel elgort nat wolff,the fault in our stars josh boone romance drama shailene woodley ansel elgort nat wolff
ping pong summer,michael tully,comedy,marcello conte helena may seabrook john hannah,ping pong summer michael tully comedy marcello conte helena may seabrook john hannah
22 jump street,phil lord,crime comedy action,jonah hill channing tatum peter stormare,22 jump street phil lord crime comedy action jonah hill channing tatum peter stormare
hellion,kat candler,thriller drama,aaron paul juliette lewis josh wiggins,hellion kat candler thriller drama aaron paul juliette lewis josh wiggins
how to train your dragon 2,dean deblois,fantasy action adventure animation comedy family,jay baruchel cate blanchett gerard butler,how to train your dragon 2 dean deblois fantasy action adventure animation comedy family jay baruchel cate blanchett gerard butler
