Title,Director,Genre,Cast
The Lottery,Arthur R. Botham,Horror Mystery,Olive Dunbar William Benedict William Fawcett
Winter's Bone,Debra Granik,Drama,Jennifer Lawrence John Hawkes Kevin Breznahan
Jonah Hex,Jimmy Hayward,Action Western Drama Fantasy Thriller,Josh Brolin John Malkovich Megan Fox
Toy Story 3,Lee Unkrich,Animation Family Comedy,Tom Hanks Tim Allen Joan Cusack
45365,Turner Ross,Documentary,
8: The Mormon Proposition,Reed Cowan,Documentary,Rocky Mayor Anderson Matt Aune Tyler Barrick
Le Amiche,Michelangelo Antonioni,Romance Drama,Eleonora Rossi Drago Gabriele Ferzetti Franco Fabrizi
Cyrus,Jay Duplass,Comedy Drama Romance,John C. Reilly Jonah Hill Marisa Tomei
I Am Love,Guilherme Pedra,unknown,
The Killer Inside Me,Michael Winterbottom,Crime Drama Thriller,Casey Affleck Kate Hudson Jessica Alba
Stonewall Uprising,Kate Davis,Documentary,Paul Bosche Alfredo del Rio John DiGiacomo
Knight and Day,James Mangold,Action Comedy,Tom Cruise Cameron Diaz Peter Sarsgaard
Grown Ups,Dennis Dugan,Comedy,Adam Sandler Kevin James Chris Rock
Dogtooth,Sailor Dinucci-Radley,unknown,
"I Was Born, But...",Roddy Bogawa,Documentary,
Restrepo,Sebastian Junger,War Documentary,"Juan ""Doc"" Restrepo Dan Kearney LaMonta Caldwell"
South of the Border,Oliver Stone,Documentary,Hugo Chávez Evo Morales Luiz Inácio Lula da Silva
Wild Grass,Shan Wu,Romance Drama,
The Twilight Saga: Eclipse,David Slade,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner
Love Ranch,Taylor Hackford,Drama,Helen Mirren Joe Pesci Sergio Peris-Mencheta
The Last Airbender,Jeff Habberstad,Action Adventure Fantasy,Noah Ringer Dev Patel Nicola Peltz
Great Directors,Angela Ismailos,Documentary,
Only When I Dance,Beadie Finzi,Documentary,
Sesame Workshop Summer Beach Party ft. Pinky Dinky Doo and Dragon Tales,unknown,unknown,unknown
